date,fips,lat,lon,tmax,tmin,prcp,wind_speed,fmc,fire_size
2025-05-06,6105.0,40.647858,-123.114666,12.2,-2.1,0.0,9.6,90.49573584427112,3.4717872
2025-05-06,6107.0,36.228834,-118.781055,17.4,9.3,0.0,10.5,90.49573584427112,-0.44697845
2025-05-06,6109.0,38.021434,-119.964733,9.1,-2.3,0.0,13.8,90.49573584427112,0.83656067
2025-05-06,6111.0,34.358748,-119.133145,20.0,12.5,0.0,19.2,90.49573584427112,-1.6515363
2025-05-06,6113.0,38.679609,-121.90275,23.4,9.0,0.0,26.0,90.49573584427112,-0.0046256073
2025-05-06,6115.0,39.27013,-121.344259,21.5,7.5,0.0,11.8,90.49573584427112,1.6381546
2025-05-07,6001.0,37.647139,-121.912488,23.7,10.2,0.0,18.4,52.0,7.594241
2025-05-07,6003.0,38.621783,-119.798352,15.8,3.0,0.0,19.0,90.49573584427112,2.0376062
2025-05-07,6005.0,38.443549,-120.653858,23.8,10.0,0.0,14.0,88.0,8.736931
2025-05-07,6007.0,39.665336,-121.603209,26.7,13.3,0.0,20.8,90.49573584427112,0.110726565
2025-05-07,6009.0,38.191068,-120.554107,24.9,10.7,0.0,13.1,90.49573584427112,20.950895
2025-05-07,6011.0,39.177739,-122.237563,30.8,12.1,0.0,22.4,210.0,20.775812
2025-05-07,6013.0,37.919479,-121.951543,23.9,9.3,0.0,26.8,90.49573584427112,0.16728722
2025-05-07,6015.0,41.749903,-123.980998,18.7,8.2,0.0,12.8,90.49573584427112,3.3140018
2025-05-07,6017.0,38.785612,-120.534225,20.6,9.4,0.0,15.5,66.0,0.045209885
2025-05-07,6019.0,36.761006,-119.655019,31.3,12.2,0.0,14.7,90.49573584427112,14.732914
2025-05-07,6021.0,39.602546,-122.4017,27.1,12.8,0.0,15.4,90.49573584427112,-9.596389
2025-05-07,6023.0,40.706655,-123.926176,18.2,5.7,0.0,17.6,90.49573584427112,-4.1596456
2025-05-07,6025.0,33.040814,-115.3554,29.9,15.3,0.0,29.8,90.49573584427112,2.56218
2025-05-07,6027.0,36.56216,-117.404209,21.5,9.4,0.0,14.8,87.5,1.6368428
2025-05-07,6029.0,35.346629,-118.729506,29.5,16.1,0.0,19.2,90.49573584427112,27.823586
2025-05-07,6031.0,36.072478,-119.81553,32.1,11.7,0.0,11.8,95.0,12.437475
2025-05-07,6033.0,39.108009,-122.745217,23.8,11.1,0.0,15.3,90.49573584427112,9.654425
2025-05-07,6035.0,40.715287,-120.621223,19.0,5.1,0.0,24.0,90.49573584427112,-1.103404
2025-05-07,6037.0,34.196398,-118.261862,23.6,9.5,0.0,14.1,90.49573584427112,-7.58647
2025-05-07,6039.0,37.209821,-119.749802,26.4,13.1,0.0,13.0,90.49573584427112,17.0696
2025-05-07,6041.0,38.051367,-122.746396,17.8,8.7,0.0,15.5,90.49573584427112,0.6828654
2025-05-07,6043.0,37.574343,-119.911721,24.0,12.6,0.0,15.2,90.49573584427112,1.3928128
2025-05-07,6045.0,39.432388,-123.442881,19.8,7.9,0.0,15.1,90.49573584427112,-2.5935347
2025-05-07,6047.0,37.194806,-120.722802,31.6,11.2,0.0,24.4,106.0,14.273894
2025-05-07,6049.0,41.592918,-120.71837,20.5,7.1,0.0,31.7,90.49573584427112,0.04373727
2025-05-07,6051.0,37.915836,-118.875167,17.6,1.4,0.0,15.3,90.49573584427112,-4.065084
2025-05-07,6053.0,36.240104,-121.315578,26.5,6.8,0.0,23.3,89.0,36.664818
2025-05-07,6055.0,38.5071,-122.325904,23.9,7.8,0.0,16.5,90.49573584427112,-9.253796
2025-05-07,6057.0,39.297508,-120.771343,20.3,9.2,0.0,17.2,90.49573584427112,-1.4993869
2025-05-07,6059.0,33.675687,-117.777207,22.4,13.7,0.0,16.6,92.33333333333331,13.955647
2025-05-07,6061.0,39.062032,-120.722718,22.6,11.3,0.0,13.9,66.66666666666667,11.049632
2025-05-07,6063.0,39.992295,-120.824371,18.7,5.2,0.0,20.1,148.0,0.30723616
2025-05-07,6065.0,33.729828,-116.002239,24.4,12.1,0.0,13.2,90.49573584427112,-0.7005597
2025-05-07,6067.0,38.450136,-121.344329,28.2,10.3,0.0,16.2,90.49573584427112,20.774305
2025-05-07,6069.0,36.611651,-121.085811,25.2,11.6,0.0,15.8,90.49573584427112,10.946817
2025-05-07,6071.0,34.856661,-116.181571,27.8,13.0,0.0,18.0,90.49573584427112,33.23436
