prcp_bin,fire_size
"0.0–0.98""",1.8565235417733439
"0.98–1.97""",1.347240848210755
"1.97–2.95""",1.0136086765208137
"2.95–3.94""",0.7949244742287044
">3.94""",0.4537865671723445
